model,seed,Hits@1,Hits@3,Hits@10,Hits@20,Hits@50,Hits@100,MRR,mrr_hit1,mrr_hit3,mrr_hit10,mrr_hit20,mrr_hit50,mrr_hit100,AUC,AP,ACC
MLP-llama,1,3.46,8.03,18.46,23.51,28.96,36.93,8.2,3.46,8.03,15.42,20.69,28.96,36.93,75.85,78.95,69.05
MLP-llama,2,5.8,13.13,18.87,21.98,30.83,38.22,10.06,5.8,13.13,18.87,21.98,30.83,38.22,74.62,78.18,68.23
MLP-llama,3,6.1,12.31,19.46,22.8,30.13,36.11,8.53,6.1,12.31,19.46,22.8,30.13,36.11,74.24,77.83,68.93
MLP-llama,4,8.79,10.73,17.64,20.93,28.19,37.46,11.35,8.79,10.73,17.64,20.93,28.19,37.46,74.79,78.12,68.67
MLP-e5-large,0,23.09,29.07,37.05,46.31,68.17,76.49,26.91,23.09,29.07,37.05,46.31,68.17,76.49,94.69,94.94,87.6
MLP-e5-large,1,16.82,28.6,39.39,46.6,67.29,75.73,25.61,16.82,28.6,39.39,46.6,67.29,75.73,94.68,94.91,87.43
MLP-e5-large,2,15.12,31.01,42.09,50.47,66.76,76.67,23.91,15.12,31.01,42.09,50.47,66.76,76.67,94.69,94.93,87.4
MLP-e5-large,3,16.59,25.73,39.39,47.89,66.94,76.96,23.88,16.59,25.73,39.39,47.89,66.94,76.96,94.7,94.94,87.51
MLP-e5-large,4,21.34,30.36,40.74,50.64,66.12,76.73,26.88,21.34,30.36,40.74,50.64,66.12,76.73,94.69,94.94,87.63
MLP-llama,0,4.81,5.69,9.91,12.95,20.57,26.14,7.22,4.81,5.69,9.91,12.95,20.57,26.14,66.64,69.96,62.48
MLP-llama,1,3.81,7.8,11.55,12.95,20.16,26.96,6.43,3.81,7.8,9.26,11.84,20.16,26.96,66.56,70.13,62.43
MLP-llama,2,3.34,5.92,10.2,14.07,20.46,26.85,5.78,3.34,5.92,10.2,11.08,20.46,26.85,66.72,70.33,62.02
MLP-llama,3,5.51,7.74,8.91,14.24,20.28,24.85,7.18,5.51,7.74,8.91,12.19,20.28,24.85,66.93,70.33,62.13
MLP-llama,4,4.4,8.56,9.96,13.13,19.87,25.85,6.92,4.4,8.56,9.96,13.13,19.87,25.85,66.87,70.63,62.16
NCN,0,29.95,47.95,63.25,71.45,82.12,88.69,39.07,29.95,47.95,63.25,71.45,82.12,88.69,97.4,97.62,91.59
NCN,0,29.95,52.93,63.25,71.45,82.12,88.69,39.07,29.95,52.93,63.25,71.45,82.12,88.69,97.4,97.62,91.68
NCN,0,15.3,47.6,61.49,66.94,77.2,85.4,32.75,15.3,47.6,61.49,66.94,77.2,85.4,96.84,97.07,90.68
NCNC,0,9.61,44.61,59.91,66.12,78.43,88.04,28.65,9.61,44.61,59.91,66.12,78.43,88.04,97.08,97.18,91.53
NCNC,0,27.37,35.64,56.51,62.43,76.73,85.46,35.22,27.37,35.64,56.51,62.43,76.73,85.46,96.79,96.87,90.01
NCN,0,29.95,52.93,63.25,71.45,82.12,88.69,39.07,29.95,52.93,63.25,71.45,82.12,88.69,97.4,97.62,91.68
NCN,0,15.3,47.6,61.49,66.94,77.2,85.4,32.75,15.3,47.6,61.49,66.94,77.2,85.4,96.84,97.07,90.68
NCNC,0,9.61,44.61,59.91,66.12,78.43,88.04,28.65,9.61,44.61,59.91,66.12,78.43,88.04,97.08,97.18,91.53
MLP-llama,0,2.34,8.38,11.66,16.3,23.86,31.36,5.48,2.34,8.38,11.66,16.3,23.86,31.36,69.95,73.92,65.33
NCN,0,29.95,52.93,63.25,71.45,82.12,88.69,39.07,29.95,52.93,63.25,71.45,82.12,88.69,97.4,97.62,91.68
MLP-llama,0,1.88,7.39,10.49,15.59,22.16,27.26,5.48,1.88,7.39,10.49,15.59,22.16,27.26,68.41,71.53,64.65
NCN,0,29.95,52.93,63.25,71.45,82.12,88.69,39.07,29.95,52.93,63.25,71.45,82.12,88.69,97.4,97.62,91.68
